acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,acc2_x,acc2_y,acc2_z,label,smv
17,-179,-99,-18,-504,-352,76,-697,-279,0,205.25837376341067
15,-174,-90,-53,-568,-306,48,-675,-254,0,196.4713719603953
1,-176,-81,-84,-613,-271,-2,-668,-221,0,193.74725804511402
-10,-180,-77,-104,-647,-227,-34,-697,-175,0,196.03316046016297
-21,-191,-63,-128,-675,-191,-74,-741,-133,0,202.21523186941187
-37,-225,-59,-146,-700,-159,-110,-840,-103,0,235.53131426627755
-36,-243,-46,-166,-722,-131,-147,-948,-75,0,249.9219878282021
-44,-271,-38,-190,-738,-107,-171,-1073,-38,0,277.1660152327482
-51,-312,-33,-210,-752,-90,-200,-1191,3,0,317.8584590662957
-55,-339,-19,-214,-764,-72,-212,-1298,52,0,343.9578462544502
-50,-357,-7,-178,-766,-52,-210,-1363,82,0,360.5523540347504
-48,-368,1,-76,-748,-31,-193,-1398,115,0,371.1185794325043
-39,-365,-5,89,-697,-11,-169,-1386,103,0,367.11169962288045
-29,-353,-15,283,-629,7,-135,-1355,67,0,354.5066995135635
-15,-331,-27,467,-557,23,-71,-1301,32,0,332.4379641376719
1,-320,-39,605,-489,36,-14,-1234,-16,0,322.36935338211043
23,-298,-44,683,-434,48,74,-1160,-58,0,302.1075967267291
43,-269,-51,707,-393,60,150,-1075,-77,0,277.1479749159283
57,-251,-71,689,-369,70,200,-986,-111,0,267.00374529208386
65,-231,-62,629,-360,90,248,-933,-134,0,247.85076154815422
86,-228,-63,522,-364,132,326,-899,-129,0,251.69227242805846
104,-225,-52,388,-376,174,391,-880,-102,0,253.26863208853953
110,-225,-35,254,-380,208,421,-884,-43,0,252.88337232803585
111,-230,-20,141,-368,237,426,-896,14,0,256.1659618294359
110,-236,-8,67,-344,271,406,-900,77,0,260.4995201531089
101,-240,-9,37,-317,316,390,-920,106,0,260.5417432965397
95,-249,-4,35,-294,361,375,-943,110,0,266.5370518333239
91,-250,-9,41,-274,401,351,-963,94,0,266.1991735524361
84,-252,-9,39,-255,431,316,-972,80,0,265.7837466813951
74,-256,-12,40,-224,456,289,-983,69,0,266.7508200549719
70,-256,-16,43,-186,476,267,-985,61,0,265.87967203229357
61,-256,-16,55,-144,485,224,-977,56,0,263.65318128177404
49,-249,-20,74,-96,490,190,-971,44,0,254.56236956785267
42,-249,-24,98,-45,491,158,-958,47,0,253.65527788713564
33,-244,-24,118,7,486,132,-945,41,0,247.38835865901208
25,-237,-22,135,57,482,102,-927,42,0,239.32822650076193
23,-232,-23,146,104,473,85,-907,41,0,234.26907606425564
18,-225,-25,148,149,463,74,-881,38,0,227.0990973121646
15,-222,-24,143,190,449,55,-862,37,0,223.79678281869917
12,-213,-20,134,228,438,39,-836,47,0,214.27319011019554
12,-212,-19,119,260,429,39,-821,52,0,213.1877107152286
9,-211,-17,91,285,424,26,-827,60,0,211.87496312684044
5,-211,-13,57,309,416,18,-825,73,0,211.45921592590852
7,-212,-4,23,327,406,27,-822,94,0,212.15324649884573
6,-212,-5,-8,339,394,16,-832,94,0,212.14381914163798
-1,-219,-10,-39,353,388,1,-843,105,0,219.23047233448182
3,-217,1,-72,367,385,6,-855,115,0,217.02304025149036
-1,-223,-7,-100,381,382,-2,-865,120,0,223.11207945783661
5,-226,9,-125,391,383,-6,-880,114,0,226.23439172681063
-3,-229,-1,-145,408,371,-11,-888,119,0,229.02183302034766
-3,-233,-4,-163,425,355,-12,-901,115,0,233.05364189387817
-3,-235,-2,-174,440,338,-17,-910,115,0,235.02765794688932
-1,-237,-6,-185,455,321,-16,-912,103,0,237.07804622107042
0,-235,-6,-196,468,305,-11,-924,99,0,235.07658326596462
-1,-239,-6,-207,480,289,-9,-922,103,0,239.07739332693086
-2,-235,-5,-215,490,276,-13,-921,108,0,235.06169402946114
-3,-244,-5,-222,499,267,-1,-930,100,0,244.0696621868437
2,-239,-1,-230,508,245,6,-932,115,0,239.01046002215048
7,-241,4,-233,509,222,12,-930,120,0,241.13481706298657
12,-239,4,-235,508,203,12,-932,123,0,239.3344939619026
5,-240,-2,-238,508,188,20,-935,122,0,240.06040906405204
4,-237,0,-244,504,170,17,-934,118,0,237.03375287076733
1,-228,7,-241,498,175,-3,-877,144,0,228.10962276940444
1,-228,9,-225,505,166,5,-873,142,0,228.17975370308383
1,-224,6,-223,506,143,0,-864,143,0,224.08257406590099
0,-221,12,-231,506,127,-15,-865,157,0,221.32555207205516
-6,-222,17,-236,509,117,-16,-861,182,0,222.7307791931775
-3,-225,23,-235,520,109,-22,-866,207,0,226.19239598182781
-6,-227,27,-226,534,95,-20,-867,237,0,228.67881406024478
-1,-224,35,-206,543,84,-21,-866,261,0,226.7200917431007
3,-227,36,-181,559,69,-16,-866,266,0,229.85647695899283
0,-225,40,-165,574,51,-9,-873,269,0,228.52789764052878
3,-224,41,-160,595,38,1,-875,275,0,227.74108105478027
6,-228,41,-160,612,23,13,-879,279,0,231.7347621743445
8,-230,37,-166,626,7,30,-886,277,0,233.09440147716975
9,-227,48,-173,637,-9,42,-881,299,0,232.1938845017241
11,-225,46,-172,645,-20,49,-883,290,0,229.9173764638071
17,-236,36,-180,652,-15,51,-921,265,0,239.3344939619026
16,-243,39,-198,659,-30,61,-944,281,0,246.62927644543743
14,-242,41,-206,655,-58,54,-952,273,0,245.84751371531092
11,-251,29,-205,648,-81,48,-966,245,0,252.909074570289
15,-250,28,-211,641,-92,46,-978,225,0,252.00992043965255
13,-256,21,-225,630,-95,42,-1000,198,0,257.1886467167631
10,-267,8,-250,609,-100,32,-1040,141,0,267.30693967796645
-2,-273,-8,-290,562,-117,-4,-1070,92,0,273.1245137295442
-15,-275,-24,-321,488,-123,-54,-1073,31,0,276.45252757028646
-22,-275,-41,-365,420,-110,-96,-1084,-28,0,278.90858717508144
-21,-282,-50,-430,371,-93,-102,-1098,-64,0,287.1671986839723
-27,-287,-47,-510,337,-77,-106,-1120,-67,0,292.07362085611226
-25,-296,-34,-579,324,-61,-113,-1149,-2,0,298.99331096196784
-37,-306,-8,-601,323,-43,-136,-1176,90,0,308.3326126117703
-37,-313,21,-559,318,-22,-160,-1190,193,0,315.8781410607578
-52,-315,42,-467,294,5,-191,-1200,270,0,322.0139748520241
-55,-314,55,-356,254,36,-202,-1200,328,0,323.4903398866804
-53,-311,61,-255,200,70,-203,-1191,363,0,321.3269363125351
-53,-306,70,-173,145,106,-201,-1175,383,0,318.34729463276426
-52,-304,69,-106,100,144,-206,-1169,385,0,316.0395544864598
-50,-305,66,-56,67,183,-199,-1178,373,0,316.0395544864598
-45,-303,65,-18,48,229,-168,-1175,362,0,313.14373696435314
-51,-322,49,-10,37,331,-188,-1254,297,0,329.6755981264006
-50,-337,23,-37,53,379,-184,-1335,230,0,341.464493029656
-52,-352,11,-91,38,405,-197,-1388,141,0,355.990168403567
-47,-370,-22,-163,-23,447,-174,-1436,43,0,373.62146619272295
-33,-378,-44,-247,-118,501,-120,-1462,-53,0,381.9803659875727
-15,-380,-61,-320,-234,563,-46,-1475,-123,0,385.1571108002551
-2,-380,-64,-364,-329,639,12,-1475,-137,0,385.3569773599539
11,-379,-51,-350,-384,720,53,-1466,-97,0,382.57417581431184
19,-368,-26,-282,-416,785,69,-1421,-4,0,369.406280401403
13,-348,-5,-181,-449,832,60,-1353,100,0,348.2786240928375
17,-320,23,-73,-483,858,57,-1243,184,0,321.275582638955
27,-296,31,8,-489,881,82,-1161,232,0,298.84109489827534
36,-280,32,34,-438,887,113,-1092,242,0,284.1126537132762
37,-269,29,15,-329,855,123,-1061,242,0,273.07691224268666
39,-269,23,-36,-191,804,127,-1061,221,0,272.7837971727793
25,-269,15,-96,-70,757,75,-1066,168,0,270.57531299067176
31,-287,-9,-127,27,692,107,-1097,96,0,288.809625878363
4,-281,-38,-135,76,521,24,-1083,-10,0,283.58596580225895
-4,-279,-67,-115,88,414,-15,-1070,-136,0,286.95992751602097
7,-276,-96,-76,96,356,3,-1058,-261,0,292.3029250623401
7,-270,-126,-43,120,305,22,-1039,-363,0,298.03523281652457
6,-262,-137,-29,175,270,14,-1013,-422,0,295.7177708559295
10,-254,-131,-37,251,252,12,-980,-407,0,285.9667812876174
8,-241,-122,-57,329,251,9,-955,-386,0,270.23878330099103
8,-239,-111,-93,401,255,24,-926,-339,0,263.6399059323152
11,-228,-102,-131,455,258,30,-885,-286,0,250.01799935204664
16,-226,-92,-165,491,261,43,-870,-244,0,244.532206467778
13,-222,-80,-191,519,260,54,-859,-206,0,236.3323930399724
16,-225,-64,-211,536,262,64,-855,-163,0,234.47174669882938
19,-224,-59,-222,551,261,72,-864,-125,0,232.41772737895877
21,-237,-53,-222,557,261,60,-900,-94,0,243.76012799471533
22,-249,-40,-213,566,264,77,-954,-50,0,253.15015307125532
23,-263,-32,-192,570,260,91,-1019,-7,0,265.93608254616373
25,-287,-23,-147,573,251,108,-1084,35,0,289.0034601868981
31,-306,-19,-82,567,241,129,-1161,49,0,308.15255961941966
42,-317,-11,-2,553,211,139,-1194,70,0,319.9593724209372
37,-316,-17,102,533,167,141,-1208,52,0,318.612617452605
34,-313,-26,198,506,119,136,-1202,24,0,315.91296269700615
27,-307,-35,278,481,74,108,-1181,-9,0,310.1660845418145
22,-296,-41,337,463,35,81,-1148,-37,0,299.6347776877711
10,-286,-49,378,438,-5,45,-1114,-69,0,290.339456498768
-2,-268,-50,389,411,-40,0,-1068,-88,0,272.6316195895113
-11,-257,-55,375,398,-77,-44,-1006,-106,0,263.04942501362746
-19,-253,-67,328,398,-115,-74,-980,-124,0,262.40998456613653
-27,-232,-48,249,402,-163,-102,-923,-89,0,238.447059113758
-38,-228,-49,169,398,-220,-151,-887,-67,0,236.28161164170183
-48,-220,-40,83,385,-273,-161,-863,-49,0,228.7006777427649
-51,-221,-38,5,367,-320,-195,-854,-29,0,229.96956320348133
-57,-225,-40,-60,346,-359,-221,-868,-34,0,235.52919139673537
-56,-228,-42,-114,321,-392,-215,-881,-39,0,238.5036687348855
-56,-229,-41,-140,297,-419,-210,-888,-43,0,239.28643923131122
-53,-231,-46,-142,280,-438,-203,-900,-57,0,241.4249365744972
-46,-238,-51,-132,269,-458,-191,-910,-79,0,247.71152577141015
-43,-239,-55,-122,261,-473,-163,-935,-92,0,248.98795151573097
-35,-242,-49,-115,250,-483,-143,-942,-86,0,249.37922928744487
-31,-245,-52,-100,233,-497,-119,-930,-76,0,252.3687777836236
-26,-242,-49,-78,209,-504,-93,-927,-67,0,248.276056034407
-12,-238,-47,-55,182,-505,-61,-928,-63,0,242.89298054904756
-12,-232,-43,-38,149,-504,-42,-910,-54,0,236.25621684941964
-6,-232,-45,-17,110,-497,-22,-882,-45,0,236.40008460235373
-2,-228,-43,0,67,-489,1,-870,-41,0,232.0280155498469
2,-223,-45,10,19,-482,10,-858,-43,0,227.50384612133485
2,-221,-39,9,-30,-475,21,-847,-34,0,224.42370641266933
4,-220,-38,1,-83,-464,27,-849,-37,0,223.29352879114074
5,-218,-44,-17,-134,-456,27,-849,-31,0,222.45224206557236
2,-223,-41,-42,-183,-444,27,-859,-33,0,226.74655454934702
4,-223,-34,-66,-227,-432,21,-861,-19,0,225.61249965372042
-1,-227,-38,-89,-266,-419,12,-874,-9,0,230.1608133457996
5,-227,-28,-109,-302,-406,6,-882,8,0,228.77499863402906
3,-232,-29,-123,-333,-391,19,-896,19,0,233.82472067769052
8,-236,-25,-135,-361,-374,32,-918,31,0,237.4552589436587
7,-241,-19,-146,-374,-367,30,-932,44,0,241.84912652312806
0,-242,-20,-157,-383,-363,10,-944,50,0,242.82503989498284
3,-249,-11,-167,-393,-345,19,-955,75,0,249.26090748450707
6,-250,-13,-165,-413,-338,26,-970,80,0,250.4096643502403
9,-252,-10,-154,-438,-335,38,-977,80,0,252.35887145095572
13,-254,-11,-143,-456,-331,49,-985,79,0,254.57022606738596
18,-255,-4,-131,-469,-326,56,-982,87,0,255.66579747787932
17,-253,-6,-117,-484,-320,73,-983,88,0,253.64147925763245
26,-251,-9,-104,-496,-312,82,-979,84,0,252.50346532275552
21,-251,-4,-97,-506,-300,81,-968,90,0,251.90871362459853
18,-246,-8,-92,-511,-286,78,-964,100,0,246.7873578609731
21,-252,0,-91,-517,-265,71,-967,108,0,252.87348615463821
19,-244,2,-81,-524,-240,77,-954,126,0,244.74680794649805
21,-248,4,-65,-532,-214,85,-963,127,0,248.9196657558418
26,-245,3,-60,-543,-183,93,-945,132,0,246.39399343328157
24,-240,5,-55,-553,-152,97,-940,134,0,241.2488341940744
21,-239,1,-60,-561,-118,101,-925,143,0,239.9229042838553
29,-235,12,-79,-569,-83,105,-924,140,0,237.08648211148605
20,-229,9,-98,-584,-51,104,-902,147,0,230.0478211155237
23,-232,10,-118,-604,-19,94,-890,146,0,233.35166594648516
22,-228,13,-135,-629,14,85,-890,158,0,229.42754847663784
17,-228,15,-148,-656,47,74,-884,170,0,229.12442034842118
17,-229,17,-155,-686,82,61,-884,177,0,230.25855032984117
12,-232,20,-157,-714,119,42,-902,193,0,233.16946626863475
3,-235,22,-153,-743,149,21,-919,208,0,236.04660556762937
-3,-242,26,-137,-769,180,-1,-939,227,0,243.41117476401942
-4,-251,39,-113,-794,205,-24,-964,254,0,254.043303395307
-16,-253,43,-76,-820,218,-54,-966,283,0,257.12642804659345
-20,-254,45,-32,-855,249,-86,-981,312,0,258.72958856690514
-23,-260,57,19,-887,282,-97,-996,327,0,267.1666146808018
-29,-259,57,68,-915,304,-103,-1003,345,0,266.77893470062435
-32,-259,60,117,-936,311,-120,-1006,360,0,267.7778930382417
-31,-256,63,164,-943,320,-117,-1002,364,0,265.4543275217038
-16,-258,45,205,-937,334,-70,-1017,299,0,262.3833073958784
-9,-259,26,222,-903,334,-38,-1015,215,0,260.4572901648176
13,-261,2,215,-838,324,36,-1015,136,0,261.3312074743466
