acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,acc2_x,acc2_y,acc2_z,label,smv
7,-267,8,696,-1099,269,20,-1042,167,0,267.21152669748363
12,-259,-18,662,-1056,271,19,-1031,92,0,259.90190457170564
24,-255,-32,580,-971,273,58,-999,26,0,258.11818998280614
34,-247,-45,456,-856,258,101,-980,-47,0,253.357454991954
44,-248,-42,307,-731,219,144,-977,-46,0,255.3507391804457
42,-256,-33,162,-606,172,150,-1007,-18,0,261.51290599127225
50,-273,-23,34,-482,130,179,-1069,33,0,278.4923697338941
50,-282,-1,-69,-360,86,186,-1101,112,0,286.40006983239374
56,-288,23,-125,-240,34,195,-1113,188,0,294.2940706164499
63,-289,46,-156,-125,-18,236,-1131,286,0,299.34261307070864
77,-293,67,-166,-17,-78,290,-1136,372,0,310.26923792087416
93,-295,87,-162,75,-150,344,-1136,448,0,321.31448769079805
106,-295,101,-142,137,-244,393,-1132,507,0,329.33569499827985
111,-288,108,-116,164,-345,419,-1121,541,0,327.0
114,-292,102,-82,183,-427,428,-1114,523,0,329.6422303043104
114,-277,86,-61,215,-501,417,-1110,467,0,311.64242329952447
107,-286,58,-74,264,-559,393,-1127,372,0,310.8198835338563
102,-298,27,-134,331,-604,369,-1163,257,0,316.12813857674865
95,-320,1,-245,392,-634,357,-1236,132,0,333.80533249185817
86,-345,-33,-386,439,-658,331,-1350,14,0,357.0854239534288
77,-383,-55,-530,460,-679,301,-1481,-87,0,394.51615936486047
65,-432,-66,-645,474,-712,259,-1649,-146,0,441.8200991353834
61,-471,-67,-713,521,-764,224,-1793,-151,0,479.6363205596507
60,-489,-57,-720,609,-841,211,-1872,-115,0,495.95362686444787
59,-490,-54,-673,695,-923,228,-1883,-87,0,496.4846422599595
65,-479,-63,-583,749,-1009,244,-1835,-136,0,487.478204640987
69,-457,-96,-473,793,-1091,256,-1779,-232,0,472.04448942869783
70,-439,-115,-369,848,-1168,264,-1696,-319,0,459.1797033841979
55,-411,-118,-290,898,-1238,222,-1605,-362,0,431.12643157199255
39,-375,-112,-249,941,-1303,178,-1473,-341,0,393.3064962595965
21,-338,-99,-223,916,-1361,104,-1324,-286,0,352.8257360227567
4,-299,-86,-194,814,-1411,51,-1177,-241,0,311.1478748119614
-24,-265,-88,-160,659,-1452,-51,-1033,-233,0,280.25880896057487
-43,-229,-102,-129,498,-1458,-133,-905,-262,0,254.3501523490796
-43,-202,-105,-102,350,-1455,-149,-802,-293,0,231.68513115864815
-44,-173,-115,-87,222,-1461,-162,-692,-348,0,212.34406043023665
-31,-146,-130,-100,140,-1399,-147,-593,-398,0,197.9318064384802
-21,-138,-137,-110,145,-1304,-111,-534,-434,0,195.5862980885931
-21,-143,-149,-138,203,-1217,-92,-555,-485,0,207.5837180512961
-20,-167,-150,-238,254,-1106,-99,-665,-472,0,225.36414976655004
-30,-195,-128,-410,256,-973,-114,-783,-398,0,235.17865549407327
-32,-238,-101,-583,214,-842,-98,-941,-279,0,260.51679408437377
-29,-275,-61,-713,131,-715,-89,-1091,-124,0,283.17309194201346
-27,-319,-37,-775,20,-583,-88,-1234,-13,0,322.27162456536564
-21,-347,-10,-743,-108,-449,-64,-1329,69,0,347.778665245584
-15,-367,-11,-607,-230,-324,-46,-1400,85,0,367.47108729803494
-10,-378,-22,-401,-325,-209,-22,-1428,47,0,378.77169904838456
0,-372,-34,-165,-386,-113,-8,-1432,-11,0,373.5505320569093
4,-374,-49,56,-423,-20,8,-1422,-83,0,377.2174439232629
5,-370,-62,244,-435,66,20,-1413,-153,0,375.1919508731497
7,-364,-78,386,-420,150,22,-1392,-188,0,372.32915545253775
14,-352,-80,500,-372,222,31,-1351,-201,0,361.24783736376884
25,-329,-82,591,-299,287,76,-1282,-206,0,339.9852937995995
35,-306,-88,650,-224,335,127,-1195,-222,0,320.3201523476161
46,-273,-94,661,-163,361,172,-1088,-250,0,292.37133922462374
60,-254,-105,591,-114,388,220,-1006,-290,0,281.3201023745015
72,-227,-97,425,-66,417,265,-919,-268,0,257.1419841255022
86,-209,-85,222,-28,436,311,-822,-214,0,241.45807089430662
88,-187,-73,47,-18,445,341,-750,-170,0,219.18485349129398
100,-178,-63,-95,-31,456,389,-698,-118,0,213.66562662253375
111,-167,-49,-194,-53,471,413,-640,-82,0,206.42432027258803
110,-156,-51,-259,-67,479,415,-612,-68,0,197.57783276471073
111,-152,-40,-314,-68,487,412,-583,-52,0,192.41881404893857
108,-148,-46,-352,-57,502,405,-580,-48,0,188.90209104189398
101,-154,-46,-388,-37,530,380,-597,-62,0,189.8236023259489
94,-156,-44,-417,6,562,344,-595,-46,0,187.37128915604973
84,-165,-44,-421,71,595,313,-619,-41,0,190.30764566879597
72,-169,-38,-407,142,626,275,-654,-29,0,187.5873130038383
60,-184,-34,-387,205,655,223,-699,-9,0,196.4993638666548
45,-200,-27,-358,269,672,161,-746,12,0,206.77040407176264
25,-204,-22,-312,320,684,97,-785,34,0,206.70026608594387
17,-221,-17,-252,353,692,59,-825,50,0,222.30384612057435
11,-225,-13,-176,373,692,43,-847,66,0,225.64352417031606
4,-227,-18,-91,393,686,13,-868,54,0,227.74766738651792
2,-228,-19,-14,422,679,-3,-864,53,0,228.79903845951802
-4,-226,-26,53,457,663,-12,-854,43,0,227.5258227103025
-8,-218,-18,107,494,640,-30,-836,42,0,218.8880992653552
-8,-207,-21,152,531,618,-37,-812,27,0,208.21623375712088
-3,-200,-25,177,566,598,-25,-782,12,0,201.57876872329587
