acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,acc2_x,acc2_y,acc2_z,label,smv
-6,-256,-66,-122,-262,-115,2,-994,-306,0,264.43902888945877
-4,-258,-65,-120,-267,-109,10,-1000,-311,0,266.092089322475
-6,-257,-67,-118,-270,-106,8,-999,-310,0,265.65767446094986
-2,-257,-70,-118,-274,-101,18,-999,-310,0,266.3700433607353
-3,-257,-70,-117,-277,-94,16,-999,-312,0,266.3794286351707
-1,-263,-70,-119,-279,-89,15,-998,-313,0,272.1580423210014
-3,-258,-66,-120,-281,-82,17,-997,-307,0,266.3249894395943
-2,-259,-69,-120,-282,-76,19,-993,-312,0,268.0410416335528
-1,-258,-68,-120,-282,-69,25,-995,-307,0,266.8126683649035
0,-256,-67,-119,-281,-63,22,-992,-305,0,264.62237244798484
-2,-255,-65,-117,-279,-57,29,-1006,-301,0,263.16154734307213
0,-258,-67,-113,-279,-51,30,-993,-294,0,266.5576860643865
2,-257,-64,-107,-277,-44,26,-999,-296,0,264.8565649554491
3,-259,-59,-102,-273,-39,32,-993,-289,0,265.6520280366781
0,-259,-60,-99,-270,-36,35,-997,-296,0,265.8589851782332
3,-261,-62,-98,-263,-29,30,-1001,-292,0,268.279704785882
0,-257,-62,-97,-257,-25,27,-994,-286,0,264.372842780797
0,-255,-61,-95,-250,-24,32,-994,-291,0,262.1945842308723
0,-256,-60,-90,-243,-20,32,-986,-291,0,262.9372548727167
1,-258,-61,-83,-237,-18,21,-979,-288,0,265.1150693566852
0,-253,-63,-75,-230,-15,27,-981,-282,0,260.725909721301
0,-251,-60,-67,-222,-16,26,-973,-277,0,258.07169546465184
-3,-250,-59,-62,-217,-15,19,-970,-275,0,256.88518836242775
0,-250,-58,-58,-212,-16,20,-969,-277,0,256.6398254363496
-1,-250,-61,-55,-205,-16,16,-957,-274,0,257.3363557680881
-3,-249,-56,-52,-198,-15,24,-956,-270,0,255.23714463220279
-4,-249,-57,-52,-191,-16,18,-961,-268,0,255.47211198093618
0,-250,-57,-53,-182,-17,16,-955,-271,0,256.4156781478075
-2,-248,-54,-53,-174,-18,16,-958,-269,0,253.81883302859936
-2,-248,-56,-51,-165,-17,18,-959,-265,0,254.25184365113265
0,-248,-56,-52,-158,-17,18,-956,-265,0,254.24397731313127
0,-249,-55,-52,-150,-17,21,-956,-268,0,255.0019607767752
0,-250,-56,-50,-142,-17,21,-961,-268,0,256.1952380509833
0,-252,-56,-48,-136,-17,22,-954,-268,0,258.14724480420085
-4,-248,-55,-46,-128,-18,19,-960,-266,0,254.05708020049352
0,-251,-59,-43,-123,-19,18,-954,-265,0,257.8410362994999
0,-249,-57,-42,-121,-19,19,-958,-266,0,255.44079548889601
-2,-258,-53,-43,-118,-20,16,-961,-272,0,263.39514042593873
0,-249,-57,-44,-115,-21,21,-959,-271,0,255.44079548889601
-3,-249,-55,-46,-113,-21,19,-959,-271,0,255.01960708933734
0,-249,-56,-47,-108,-24,17,-959,-272,0,255.21951336055793
-4,-248,-61,-47,-104,-24,23,-958,-266,0,255.42317827479948
-1,-251,-58,-47,-98,-25,17,-956,-272,0,257.615993292342
-1,-251,-57,-47,-95,-26,18,-959,-272,0,257.3926960890693
-3,-248,-60,-47,-90,-27,18,-962,-271,0,255.17249068032393
-5,-249,-58,-47,-88,-27,18,-960,-274,0,255.71468475627285
-1,-252,-57,-47,-85,-27,22,-965,-276,0,258.36795466930494
0,-250,-60,-47,-84,-25,23,-960,-275,0,257.0992026436488
-4,-249,-61,-48,-82,-25,15,-962,-280,0,256.39422770413535
-1,-251,-61,-49,-80,-25,15,-965,-275,0,258.30795574275294
-5,-248,-63,-50,-78,-26,16,-967,-274,0,255.92577048824137
0,-252,-60,-49,-78,-25,20,-965,-282,0,259.04439773907484
-1,-252,-59,-48,-77,-25,18,-966,-276,0,258.81653733871025
-2,-250,-61,-47,-73,-25,19,-962,-277,0,257.3421846491554
-1,-251,-61,-46,-71,-24,19,-962,-279,0,258.30795574275294
-2,-249,-63,-49,-69,-24,22,-961,-285,0,256.8540441573774
-2,-248,-61,-51,-66,-24,23,-961,-282,0,255.3996867656654
0,-250,-66,-53,-61,-24,25,-963,-281,0,258.5652722234755
2,-250,-56,-55,-56,-24,28,-971,-282,0,256.20304447839806
