acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,acc2_x,acc2_y,acc2_z,label,smv
14,-249,15,53,25,-1,40,-1022,93,1,249.84395129760497
13,-252,16,54,24,-1,43,-1032,84,1,252.84184780213894
12,-252,13,57,24,1,40,-1033,85,1,252.62026838715852
8,-255,15,62,24,4,34,-1045,83,1,255.56603843233944
11,-257,18,69,25,5,42,-1052,84,1,257.864305401116
12,-257,15,76,26,4,35,-1058,87,1,257.71689894145476
13,-258,14,82,26,4,30,-1051,85,1,258.7063972923747
12,-256,16,88,25,5,34,-1038,81,1,256.78006153126455
11,-254,15,93,26,7,32,-1037,76,1,254.68019161293248
8,-249,16,92,25,7,31,-1023,77,1,249.64174330427994
13,-248,10,88,24,7,33,-1023,78,1,248.54174699635473
9,-250,11,79,24,9,29,-1018,76,1,250.40367409445093
8,-248,9,71,23,8,36,-1018,80,1,248.29216661022554
8,-250,11,63,23,8,29,-1020,82,1,250.3697266044759
11,-248,15,59,22,8,34,-1021,80,1,248.69660230891776
13,-247,17,54,21,8,34,-1022,85,1,247.9253920033202
9,-250,18,51,21,8,26,-1033,88,1,250.80869203438704
8,-254,15,49,21,10,30,-1032,89,1,254.568261965234
8,-251,15,49,21,8,30,-1034,83,1,251.57503850740042
10,-253,15,50,21,8,32,-1033,86,1,253.64147925763245
11,-253,19,50,22,8,28,-1035,89,1,253.95078263317086
11,-252,17,51,21,6,30,-1034,90,1,252.81218325072865
10,-249,14,53,20,3,32,-1030,84,1,249.59366979152335
9,-250,13,53,19,3,32,-1025,89,1,250.49950099750697
10,-253,15,54,19,1,29,-1030,87,1,253.64147925763245
11,-250,16,54,20,2,30,-1030,82,1,250.75286638441443
11,-251,15,54,19,0,31,-1033,83,1,251.68829929100795
11,-253,14,53,18,0,34,-1031,85,1,253.62570847609277
13,-251,14,54,17,-1,37,-1024,86,1,251.726041561059
10,-253,17,53,15,-1,34,-1032,83,1,253.76761022636438
10,-252,17,53,14,-1,35,-1028,81,1,252.77064703006954
11,-252,14,53,14,2,33,-1034,83,1,252.62818528422358
10,-252,14,53,13,1,31,-1032,81,1,252.58661880630177
10,-253,17,54,11,0,36,-1028,87,1,253.76761022636438
11,-252,17,54,12,2,30,-1030,84,1,252.81218325072865
8,-252,17,52,12,2,33,-1035,87,1,252.69942619642015
15,-253,13,51,13,4,36,-1032,88,1,253.77746156820152
10,-249,19,52,13,4,36,-1039,82,1,249.92398844448687
13,-255,16,53,11,4,33,-1034,86,1,255.83197610932064
8,-253,14,53,10,5,34,-1031,88,1,253.51331325987596
10,-251,19,54,11,5,25,-1028,85,1,251.91665288344873
12,-255,14,55,11,7,31,-1022,82,1,255.66579747787932
11,-253,17,56,11,10,27,-1033,92,1,253.80898329255407
6,-250,14,57,11,10,29,-1030,83,1,250.46357020532946
7,-251,13,56,12,10,29,-1027,81,1,251.4338879308038
9,-252,20,55,12,12,30,-1032,85,1,252.95256472311166
9,-250,15,55,12,13,26,-1030,81,1,250.61125274017525
11,-253,15,54,10,13,26,-1027,84,1,253.6828728944861
12,-252,13,54,10,14,23,-1026,81,1,252.62026838715852
11,-250,16,52,7,14,26,-1025,86,1,250.75286638441443
7,-251,12,51,4,15,24,-1026,82,1,251.38416815702615
10,-254,17,50,0,11,22,-1032,88,1,254.76459722653775
4,-249,12,50,-3,10,22,-1031,82,1,249.3210781301894
8,-253,17,51,-6,7,25,-1031,86,1,253.69666927257836
6,-249,17,52,-8,3,29,-1036,86,1,249.65175745425867
7,-250,20,52,-10,2,27,-1030,80,1,250.89639295932494
13,-255,14,51,-10,0,21,-1032,80,1,255.71468475627285
15,-242,14,50,-11,-2,27,-1034,80,1,242.86827705569124
13,-253,13,51,-11,-2,31,-1026,85,1,253.66710468643743
12,-251,14,50,-11,-4,31,-1028,82,1,251.67637950352037
9,-251,17,48,-10,-5,33,-1031,85,1,251.73597279689687
12,-251,16,47,-9,-7,33,-1031,91,1,251.79555198613022
8,-248,16,48,-7,-6,30,-1032,82,1,248.64432428672086
10,-252,18,46,-4,-7,39,-1032,88,1,252.8398702736576
11,-252,16,45,-3,-8,32,-1040,85,1,252.74690898208826
12,-253,15,44,-3,-9,34,-1032,81,1,253.7282010340987
10,-252,18,46,-3,-10,36,-1034,86,1,252.8398702736576
12,-253,16,45,-2,-10,36,-1031,85,1,253.78928267363852
9,-253,16,46,-1,-10,35,-1034,81,1,253.66513359151273
